,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
225,2021-05-27,13657.85,-0.003275987,54.11335448,0,0,0,0,0,0,100000.0,0,0,0
226,2021-05-28,13686.51,0.002098427,54.9222667,0,0,0,0,0,0,100000.0,0,0,0
227,2021-06-01,13654.59,-0.002332223,53.78503766,0,0,0,0,0,0,100000.0,0,0,0
228,2021-06-02,13675.79,0.001552591,54.45949578,0,0,0,0,0,0,100000.0,0,0,0
229,2021-06-03,13529.68,-0.010683843,49.13706128,0,0,0,0,0,0,100000.0,0,0,0
230,2021-06-04,13770.77,0.017819342,56.66327781,0,0,0,0,0,0,100000.0,0,0,0
231,2021-06-07,13802.89,0.002332477,57.56420283,0,0,0,0,0,0,100000.0,0,0,0
232,2021-06-08,13810.86,0.000577415,57.79864002,0,0,0,0,0,0,100000.0,0,0,0
233,2021-06-09,13814.94,0.00029542,57.92678052,0,0,0,0,0,0,100000.0,0,0,0
234,2021-06-10,13960.35,0.010525561000000001,62.31824956,0,0,0,0,0,0,100000.0,0,0,0
235,2021-06-11,13998.3,0.002718413,63.39218957,0,0,0,0,0,0,100000.0,0,0,0
236,2021-06-14,14128.2,0.009279698000000001,66.87251224,0,0,0,0,0,0,100000.0,0,0,0
237,2021-06-15,14030.41,-0.006921618,62.08712298,0,1,1,0,0,0,100000.0,0,0,0
238,2021-06-16,13983.01,-0.0033783759999999998,59.85142713,0,0,0,0,0,0,100000.0,0,0,0
239,2021-06-17,14163.81,0.012929976999999999,65.02482468,0,0,0,0,0,0,100000.0,0,0,0
240,2021-06-18,14049.58,-0.00806492,59.78336187,0,0,0,0,0,0,100000.0,0,0,0
241,2021-06-21,14137.23,0.006238621,62.29484614,0,0,0,0,0,0,100000.0,0,0,0
242,2021-06-22,14270.42,0.009421223000000001,65.79084607,0,0,0,0,0,0,100000.0,0,0,0
243,2021-06-23,14274.24,0.000267687,65.88853548,0,0,0,0,0,0,100000.0,0,0,0
244,2021-06-24,14365.96,0.006425561,68.23412165,0,0,0,0,0,0,100000.0,0,0,0
245,2021-06-25,14345.18,-0.001446475,67.1082392,0,0,0,0,0,0,100000.0,0,0,0
246,2021-06-28,14524.98,0.012533826999999999,71.49147663,0,0,0,0,0,0,100000.0,0,0,0
247,2021-06-29,14572.75,0.0032888170000000003,72.53856036,0,0,0,0,0,0,100000.0,0,0,0
248,2021-06-30,14554.8,-0.0012317510000000001,71.47622366,0,0,0,0,0,0,100000.0,0,0,0
249,2021-07-01,14560.05,0.00036070599999999997,71.60719645,0,0,0,0,0,0,100000.0,0,0,0
250,2021-07-02,14727.63,0.011509576,75.47781805,0,0,0,0,0,0,100000.0,0,0,0
251,2021-07-06,14786.36,0.003987743,76.67777303,0,0,0,0,0,0,100000.0,0,0,0
252,2021-07-07,14814.11,0.00187673,77.24438035,0,0,0,0,0,0,100000.0,0,0,0
